UserID,Uclass,Age,Sex,Estate,HousingPrice,MeanPrice,HousingRate,January,Feburary,March,April,May,June,July,August,September,October,November,December,ComplaintTime
8175150751,1,,,黎明小区4520,4520,5463,4,251.86,268.89,231.75,232.68,232.11,87.32,105.83,90.47,99.99,99.09,118.23,99.6,4
8175153835,1,44,女,黎明小区4520,4520,5463,4,157.34,150.01,166.88,165.18,159.01,151.53,214.27,250.27,164.81,172.5,172.78,165.47,6
8158570459,1,43,女,东城小区4512,4512,5452,4,0,0,0,0,0,0,0,0,0,73.72,116.23,140.11,7
8224260255,1,62,男,福安回迁小区3355,3355,4050,4,130.38,95.59,81.12,62.58,49.05,32.43,36.64,32.42,29.75,19.18,71.99,102.16,11
23255946,1,,,阪芙小镇3570,3570,4306,4,188.33,226.87,191.51,161.67,99.34,139.48,154.19,71.57,1.12,55.55,110.67,109.34,12
264000310,1,,,华山新区8873,8873,10693,4,207.93,193.34,190.59,175.35,178.33,158.48,131.07,137.2,138.2,160.44,177.27,214.02,1
132499895,1,,,清真小区3762,3762,4525,4,117.59,102.27,105.22,97.32,80.12,75.2,125.25,150.85,58.99,76.48,91.32,104.62,7
264749341,1,,,光明苑8339,8339,10024,4,177.94,127.97,211.79,217.01,207.1,170.96,212.49,165.47,122.05,238.51,226.8,188.52,5
258651388,1,,,公务员小区7843,7843,9420,4,63.65,69.92,62.15,60.8,0,0,83.61,78.83,68.96,59.37,57,64.62,4
250796092,1,,,荣光小区7811,7811,9371,4,55.89,55.63,95.13,119.88,94.21,109.53,143.17,151.94,79.13,86.74,95.12,95.19,8
265741016,1,,,南七小区8367,8367,10024,4,56.35,74.44,71.74,23.09,10.84,68.91,66.54,59.6,60.03,66.89,62.66,72.26,5
8004579560,1,36,男,御静园小区4406,4406,5276,4,183.41,155.03,169.66,175.9,151,127.28,122.43,125.9,184.84,399.55,203.78,261.18,11
27371288,1,,,向阳胡同小区5246,5246,6253,4,114.22,120.44,81.55,46.63,65.35,70.25,81.67,91.73,84.47,69.41,77.11,128.58,9
251128544,1,,,翰林家园7906,7906,9420,4,5.76,5.53,5.81,5.62,5.8,5.62,5.84,5.79,5.79,6.08,5.71,5.86,10
7560516284,2,,,璟悦香湾7869,7869,9352,4,165.01,267.87,250.84,247.64,203.2,202.09,173.77,47.1,222.32,71.92,23.21,21.97,9
8053449425,1,,,卓越小区3584,3584,4246,4,0,53.94,7.15,28.5,27.1,41.49,80.57,109.5,72.95,68.91,81.67,75.91,2
257120692,4,,,凯翔地区7992,7992,9420,4,226.72,186.96,210.85,240.57,234,297.39,322.98,420.3,382.17,379.78,390.2,336.5,8
91091909,1,40,男,光明社区3143,3143,3704,4,87.73,5.36,144.9,107.88,77.75,28.67,38.62,90.46,38.01,4.8,20.27,64.12,7
253264466,1,,,大成小区7961,7961,9371,4,309.21,243.03,124.16,118.07,112.48,109.02,105.83,156.1,130.3,115.06,114.9,130.88,7
232559853,1,57,女,锦华小区4633,4633,5452,4,116.47,130.78,123.25,87.78,86.38,80.67,94.26,78.5,57.44,66.69,71,81.26,7
232571561,1,,,锦华小区4633,4633,5452,4,6.74,6.51,14.29,0,0.02,19.03,18.98,0.76,5.05,0.52,0.61,0.02,7
8182876781,1,35,男,丰裕小区3879,3879,4559,4,265.38,124.16,130.95,82.44,110.47,123.97,316.8,632.23,289.44,347.96,282.94,375.68,7
311254680,1,,,龙岗园15952,15952,18734,4,366.63,495.2,592.49,555.48,429.53,387.46,369.11,406.59,384.93,410.56,395.23,478.15,2
262582186,1,,,前进小区9107,9107,10693,4,338.45,346.44,354.07,318,296.2,233.6,193.87,177.73,178.25,269.37,221.05,253.71,11
262659682,1,,,前进小区9107,9107,10693,4,142.91,117.64,122.59,114.46,100.66,80.2,90.21,95.24,76.78,82.69,89.2,95.33,12
262661155,1,,,前进小区9107,9107,10693,4,103.64,100.9,91.7,82.74,91.83,106.42,95.01,83.03,98.23,102.71,123.77,133.69,10
8129233910,2,37,男,蓝河湾小区3889,3889,4559,4,44.24,46.43,49.1,44.14,59.49,70,80.3,80.88,83.47,90.29,85.95,92.02,8
8160991015,8,63,男,欣畅园小区4665,4665,5463,4,119.3,109,681.7,1035.9,1929,691.2,1412.2,1157.1,1460.7,1624.7,1535.9,490,11
8176793841,1,,,东港林苑17716,17716,20693,4,76.08,212.16,166.54,136.91,24.55,0.42,0.57,286.11,181.74,236.87,189.89,256.24,8
8073808947,1,,,鞍钢公寓4292,4292,4991,4,76.26,84.76,88.8,42.88,0,1.83,0,0,0,0,0,0,5
269398867,3,,,明颂华庭8712,8712,10084,4,2880.11,330.59,2320.47,2547.15,2802.92,4059.72,4837.95,4907.45,3507.04,2905.4,3040.82,3608.57,8
212314748,1,35,男,百合家园4563,4563,5273,4,159.55,163.22,179.7,162.57,150.23,58.36,26,28.64,92.63,122.82,116.53,135.2,10
6970520278,1,,,铧鑫小区3666,3666,4229,4,88.91,55.25,121.03,108.98,85.47,77.44,87.22,110.9,85.35,87.26,117.54,125.85,4
8166643547,1,,,博林印象小区6308,6308,7253,4,343.93,261.53,293.73,279.04,236.59,158.3,189.85,187.62,176.85,295.2,244.35,240.42,10
52832068,3,46,男,铁路楼5975,5975,6868,4,48.48,55.9,65.71,65.75,67.44,65.44,72.22,96.47,96.51,88.41,81.59,79.65,10
230205855,3,,,翠海花园4707,4707,5404,4,2079.3,723.45,1411.5,2149.8,2272.65,3373.95,4585.8,4492.8,2529.15,2583.45,2542.2,3282.45,8
230242182,1,38,女,翠海花园4707,4707,5404,4,208.71,207.36,169.59,168.35,162.44,144.76,180.95,221.97,119.01,213.81,159.1,141.56,8
230276985,1,,,翠海花园4707,4707,5404,4,167.09,151.97,90.56,232.51,98.89,142.89,137.1,119.5,151.52,178.66,168.76,187.52,8
